,id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
2630,I2630,800,800,200,9.0,0,1,n,3
2098,I2098,1200,1200,100,16.0,0,2,n,3
2443,I2443,600,600,800,471.0,0,3,n,10
396,I0396,800,800,200,14.0,0,1,n,3
3258,I3258,1200,1200,100,12.0,0,2,n,3
1144,I1144,600,600,200,9.0,0,3,n,3
429,I0429,1200,1200,2500,517.0,0,2,n,10
3373,I3373,600,600,200,5.0,0,3,n,3
3946,I3946,1200,1200,100,8.0,0,2,n,3
700,I0700,800,800,1200,272.0,0,1,n,10
2396,I2396,1200,1200,100,15.0,0,2,n,3
2056,I2056,800,800,200,11.0,0,1,n,3
3503,I3503,600,600,800,559.0,0,3,n,10
887,I0887,1200,1200,2500,385.0,0,2,n,10
1316,I1316,1200,1200,100,5.0,0,2,n,3
2928,I2928,1200,1200,2500,316.0,0,2,n,10
1829,I1829,800,1200,200,9.0,0,0,n,3
3873,I3873,600,600,200,14.0,0,3,n,3
202,I0202,800,1200,200,15.0,0,0,n,3
2837,I2837,800,1200,2400,142.0,0,0,n,10
659,I0659,1200,1200,100,12.0,0,2,n,3
2677,I2677,800,800,1200,558.0,0,1,n,10
2196,I2196,600,600,200,11.0,0,3,n,3
2059,I2059,800,800,1200,689.0,0,1,n,10
280,I0280,600,600,200,15.0,0,3,n,3
3023,I3023,800,800,1200,329.0,0,1,n,10
792,I0792,800,1200,200,10.0,0,0,n,3
316,I0316,1200,1200,2500,716.0,0,2,n,10
3576,I3576,600,600,800,298.0,0,3,n,10
3388,I3388,800,800,1200,255.0,0,1,n,10
3124,I3124,800,800,200,13.0,0,1,n,3
3895,I3895,800,800,1200,299.0,0,1,n,10
536,I0536,800,800,200,9.0,0,1,n,3
1586,I1586,600,600,800,411.0,0,3,n,10
980,I0980,600,600,200,19.0,0,3,n,3
3266,I3266,800,1200,200,14.0,0,0,n,3
2924,I2924,800,800,1200,501.0,0,1,n,10
1186,I1186,600,600,800,652.0,0,3,n,10
304,I0304,800,800,200,16.0,0,1,n,3
2647,I2647,600,600,800,196.0,0,3,n,10
3881,I3881,1200,1200,100,5.0,0,2,n,3
2395,I2395,800,1200,200,8.0,0,0,n,3
3386,I3386,600,600,200,10.0,0,3,n,3
3099,I3099,800,800,200,17.0,0,1,n,3
343,I0343,1200,1200,100,6.0,0,2,n,3
3683,I3683,1200,1200,2500,436.0,0,2,n,10
1084,I1084,600,600,200,8.0,0,3,n,3
2151,I2151,800,1200,2400,203.0,0,0,n,10
3728,I3728,800,1200,2400,565.0,0,0,n,10
1360,I1360,800,1200,200,8.0,0,0,n,3
2536,I2536,800,800,200,18.0,0,1,n,3
3112,I3112,800,800,200,7.0,0,1,n,3
3282,I3282,1200,1200,100,10.0,0,2,n,3
236,I0236,600,600,800,247.0,0,3,n,10
197,I0197,600,600,200,8.0,0,3,n,3
1480,I1480,800,800,200,12.0,0,1,n,3
1959,I1959,1200,1200,2500,447.0,0,2,n,10
19,I0019,600,600,200,15.0,0,3,n,3
2064,I2064,1200,1200,2500,458.0,0,2,n,10
2785,I2785,600,600,200,5.0,0,3,n,3
3002,I3002,800,1200,200,14.0,0,0,n,3
115,I0115,800,1200,2400,550.0,0,0,n,10
1949,I1949,1200,1200,100,15.0,0,2,n,3
1123,I1123,800,1200,2400,410.0,0,0,n,10
