,id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
2797,I2446,1400,1200,1450,179.4,45,3,n,100
2835,I7604,1400,1225,1160,317.0,0,2,n,100
2949,I1391,1400,1200,1450,179.4,45,3,n,100
2493,I3344,1200,1000,975,225.6,45,1,n,100
1599,I0614,1200,1000,1155,366.75,0,6,n,100
2702,I8240,1600,1200,1350,303.92,45,4,n,100
997,I2302,1600,1200,1350,303.92,45,4,n,100
1033,I3242,1400,1200,1450,179.4,45,3,n,100
610,I2180,1600,1200,1350,207.72,45,4,n,100
3105,I6065,780,570,478,170.28,47,0,w,4
1955,I5480,1200,1000,1155,366.75,0,6,n,100
359,I1497,780,570,478,81.72,47,0,w,4
1841,I5491,1200,1000,975,183.84,45,1,n,100
961,I3136,1200,1000,750,229.88,45,1,n,100
3862,I7685,1200,1000,750,305.32,45,1,n,100
3500,I0737,1600,1200,1350,207.72,45,4,n,100
3264,I5314,1600,1200,1350,207.72,45,4,n,100
3692,I5207,1600,1200,1350,207.72,45,4,n,100
2966,I0645,1400,1225,1160,278.5,0,2,n,100
2910,I3151,1400,1225,1160,278.5,0,2,n,100
1866,I4298,1600,1200,1350,312.72,45,4,n,100
1557,I0271,780,570,478,96.256,47,0,w,4
1360,I5811,1200,1000,975,156.15,45,1,n,100
3955,I4160,1200,1000,975,336.7,45,1,n,100
472,I4784,1200,1000,975,156.15,45,1,n,100
3257,I3853,1200,1000,975,293.32,45,1,n,100
1477,I2162,1600,1200,1350,207.72,45,4,n,100
1496,I5395,780,570,478,100.96,47,0,w,4
1237,I1041,1200,1000,975,336.7,45,1,n,100
1899,I4142,1200,1000,975,156.15,45,1,n,100
1169,I8334,1200,1000,975,293.32,45,1,n,100
2172,I0250,1400,1200,1450,179.4,45,3,n,100
2264,I5854,1400,1200,1450,179.4,45,3,n,100
2713,I5914,1400,1200,1450,179.4,45,3,n,100
1725,I6730,1200,1000,1155,375.0,0,6,n,100
3735,I2500,1600,1200,1350,303.92,45,4,n,100
377,I2949,1600,1200,930,454.873,45,4,n,100
1371,I6340,1600,1200,975,180.2,45,4,n,100
749,I3278,1600,1200,1350,207.72,45,4,n,100
3615,I1481,1200,1000,975,293.32,45,1,n,100
2296,I2708,1600,1200,1350,207.72,45,4,n,100
2356,I4785,1200,1000,975,156.15,45,1,n,100
3045,I2344,1200,1000,750,267.8,45,1,n,100
1339,I7705,1400,1225,1160,317.0,0,2,n,100
2365,I6180,1600,1200,1350,303.92,45,4,n,100
2390,I0063,1600,1200,1350,303.92,45,4,n,100
205,I1579,1600,1200,975,180.2,45,4,n,100
1497,I6057,1600,1200,975,180.2,45,4,n,100
3029,I7399,1200,1000,975,308.76,45,1,n,100
2478,I3407,1600,1200,930,438.4,45,4,n,100
980,I3174,1200,1000,975,165.375,45,1,n,100
2501,I1755,780,570,478,100.96,47,0,w,4
3572,I2393,1400,1225,1160,278.5,0,2,n,100
3450,I2167,1600,1200,1350,207.72,45,4,n,100
2162,I0825,1400,1200,1450,179.4,45,3,n,100
2259,I1920,1400,1225,1160,278.5,0,2,n,100
3332,I6186,780,570,478,82.32,47,0,w,4
555,I3223,1400,1200,1450,179.4,45,3,n,100
2895,I7554,1600,1200,930,438.4,45,4,n,100
3195,I0526,1400,1200,1450,179.4,45,3,n,100
293,I0431,1400,1200,1450,179.4,45,3,n,100
1167,I0210,1600,1200,930,438.4,45,4,n,100
3952,I4170,1400,1225,1160,278.5,0,2,n,100
3031,I0767,1200,1000,975,293.32,45,1,n,100
